accession,predicted_CT,actual_CT,predicted_CG,actual_CG,predicted_TG,actual_TG,predicted_CA,actual_CA,predicted_TT,actual_TT,predicted_TA,actual_TA,predicted_GG,actual_GG,predicted_AG,actual_AG,predicted_CC,actual_CC,predicted_GT,actual_GT,predicted_GA,actual_GA,predicted_AT,actual_AT,predicted_TC,actual_TC,predicted_AA,actual_AA,predicted_GC,actual_GC,predicted_AC,actual_AC
CP002683,0.062,0.074,0.045,0.039,0.061,0.057,0.062,0.058,0.083,0.086,0.083,0.074,0.044,0.051,0.06,0.073,0.046,0.052,0.061,0.048,0.06,0.061,0.083,0.072,0.062,0.063,0.083,0.085,0.045,0.059,0.062,0.049
CP002400,0.062,0.051,0.077,0.096,0.061,0.071,0.062,0.072,0.049,0.05,0.049,0.033,0.076,0.064,0.062,0.05,0.078,0.065,0.061,0.053,0.062,0.063,0.049,0.063,0.062,0.063,0.049,0.05,0.077,0.101,0.062,0.054
CP001739,0.055,0.063,0.028,0.022,0.056,0.06,0.055,0.06,0.11,0.094,0.111,0.104,0.028,0.033,0.056,0.064,0.027,0.032,0.056,0.045,0.056,0.065,0.111,0.12,0.055,0.063,0.112,0.095,0.028,0.036,0.055,0.045
AM902716,0.057,0.051,0.107,0.127,0.056,0.071,0.057,0.071,0.03,0.03,0.03,0.018,0.107,0.077,0.056,0.05,0.108,0.078,0.056,0.05,0.056,0.055,0.03,0.042,0.057,0.055,0.03,0.031,0.107,0.142,0.057,0.052
CP000083,0.059,0.061,0.036,0.035,0.059,0.07,0.059,0.069,0.096,0.087,0.096,0.092,0.036,0.033,0.059,0.061,0.036,0.033,0.059,0.059,0.059,0.053,0.096,0.096,0.059,0.053,0.096,0.087,0.036,0.054,0.059,0.058
CP002544,0.062,0.055,0.047,0.057,0.061,0.062,0.062,0.063,0.08,0.075,0.08,0.068,0.046,0.05,0.061,0.053,0.048,0.051,0.061,0.054,0.061,0.07,0.08,0.094,0.062,0.073,0.08,0.075,0.047,0.047,0.062,0.055
CP001738,0.051,0.051,0.128,0.143,0.051,0.059,0.051,0.059,0.02,0.018,0.02,0.01,0.128,0.099,0.051,0.051,0.129,0.1,0.051,0.053,0.051,0.061,0.02,0.025,0.051,0.061,0.02,0.017,0.128,0.139,0.051,0.053
CP001807,0.057,0.056,0.104,0.125,0.057,0.063,0.058,0.063,0.031,0.03,0.031,0.019,0.103,0.077,0.057,0.055,0.105,0.078,0.057,0.054,0.057,0.066,0.031,0.038,0.057,0.065,0.032,0.031,0.104,0.124,0.058,0.055
CP002006,0.062,0.064,0.057,0.056,0.062,0.074,0.063,0.074,0.068,0.057,0.068,0.063,0.057,0.048,0.062,0.064,0.057,0.049,0.062,0.06,0.062,0.064,0.068,0.077,0.062,0.064,0.069,0.057,0.057,0.069,0.063,0.061
CP001016,0.061,0.055,0.081,0.104,0.061,0.065,0.061,0.065,0.046,0.047,0.046,0.024,0.081,0.064,0.061,0.054,0.082,0.064,0.061,0.044,0.061,0.076,0.046,0.067,0.061,0.076,0.046,0.047,0.081,0.103,0.061,0.044
CP006696,0.062,0.055,0.068,0.071,0.063,0.083,0.062,0.082,0.058,0.053,0.057,0.042,0.069,0.056,0.063,0.055,0.067,0.054,0.063,0.063,0.063,0.061,0.057,0.067,0.062,0.06,0.057,0.052,0.068,0.085,0.062,0.062
CP000884,0.056,0.057,0.11,0.113,0.056,0.078,0.055,0.078,0.028,0.026,0.028,0.012,0.111,0.082,0.056,0.058,0.11,0.081,0.056,0.048,0.056,0.053,0.028,0.039,0.056,0.054,0.028,0.026,0.11,0.148,0.055,0.047
AM889285,0.056,0.045,0.11,0.136,0.055,0.063,0.056,0.064,0.028,0.026,0.028,0.015,0.11,0.084,0.056,0.045,0.111,0.085,0.055,0.05,0.056,0.066,0.028,0.049,0.056,0.066,0.028,0.027,0.11,0.128,0.056,0.051
CP000492,0.064,0.061,0.058,0.066,0.062,0.069,0.063,0.071,0.068,0.066,0.067,0.043,0.057,0.049,0.061,0.06,0.06,0.052,0.062,0.052,0.061,0.072,0.067,0.075,0.064,0.076,0.066,0.065,0.058,0.07,0.063,0.052
CP001779,0.049,0.063,0.017,0.004,0.048,0.052,0.049,0.054,0.137,0.111,0.136,0.139,0.017,0.022,0.048,0.062,0.018,0.022,0.048,0.041,0.048,0.055,0.136,0.144,0.049,0.057,0.135,0.11,0.017,0.022,0.049,0.042
CP002786,0.059,0.056,0.097,0.122,0.059,0.066,0.058,0.065,0.036,0.032,0.036,0.019,0.097,0.066,0.059,0.055,0.096,0.066,0.059,0.062,0.059,0.074,0.036,0.042,0.059,0.074,0.035,0.032,0.097,0.107,0.058,0.061
CP003178,0.063,0.053,0.05,0.051,0.062,0.073,0.062,0.073,0.077,0.075,0.076,0.071,0.05,0.053,0.061,0.053,0.051,0.054,0.062,0.058,0.061,0.052,0.076,0.086,0.063,0.054,0.075,0.073,0.05,0.067,0.062,0.057
CP001145,0.061,0.07,0.05,0.036,0.062,0.076,0.061,0.074,0.075,0.07,0.076,0.063,0.052,0.048,0.063,0.072,0.049,0.045,0.062,0.061,0.063,0.064,0.076,0.068,0.061,0.06,0.077,0.071,0.05,0.06,0.061,0.061
CP002339,0.062,0.062,0.047,0.052,0.061,0.07,0.062,0.071,0.08,0.075,0.08,0.077,0.047,0.039,0.061,0.061,0.048,0.041,0.061,0.06,0.061,0.054,0.08,0.079,0.062,0.054,0.08,0.075,0.047,0.069,0.062,0.062
CP002417,0.056,0.054,0.11,0.14,0.056,0.066,0.056,0.066,0.028,0.029,0.028,0.011,0.111,0.072,0.056,0.054,0.11,0.072,0.056,0.051,0.056,0.064,0.028,0.036,0.056,0.064,0.028,0.028,0.11,0.144,0.056,0.051
CP002047,0.052,0.051,0.125,0.147,0.051,0.056,0.052,0.057,0.021,0.017,0.021,0.012,0.125,0.093,0.052,0.052,0.126,0.094,0.051,0.058,0.052,0.066,0.021,0.025,0.052,0.066,0.022,0.018,0.125,0.131,0.052,0.058
CP001684,0.06,0.054,0.091,0.111,0.059,0.067,0.06,0.068,0.039,0.039,0.04,0.024,0.09,0.067,0.06,0.054,0.091,0.068,0.059,0.057,0.06,0.069,0.04,0.049,0.06,0.069,0.04,0.039,0.091,0.106,0.06,0.058
CP006842,0.057,0.053,0.105,0.122,0.057,0.064,0.057,0.064,0.031,0.024,0.031,0.015,0.106,0.082,0.057,0.052,0.105,0.081,0.057,0.069,0.057,0.077,0.031,0.035,0.057,0.077,0.031,0.024,0.105,0.093,0.057,0.068
AP014685,0.058,0.054,0.101,0.134,0.058,0.061,0.058,0.06,0.033,0.032,0.033,0.015,0.102,0.07,0.058,0.054,0.101,0.069,0.058,0.049,0.058,0.074,0.033,0.048,0.058,0.074,0.033,0.032,0.101,0.126,0.058,0.048
CP002102,0.054,0.051,0.117,0.141,0.054,0.057,0.054,0.056,0.025,0.022,0.025,0.011,0.118,0.089,0.054,0.05,0.117,0.089,0.054,0.052,0.054,0.073,0.025,0.037,0.054,0.072,0.025,0.022,0.117,0.124,0.054,0.052
CP003590,0.062,0.066,0.051,0.062,0.062,0.061,0.062,0.061,0.075,0.075,0.075,0.061,0.051,0.043,0.062,0.066,0.051,0.043,0.062,0.05,0.062,0.072,0.075,0.078,0.062,0.072,0.075,0.075,0.051,0.067,0.062,0.05
CP003969,0.05,0.054,0.13,0.175,0.05,0.044,0.051,0.045,0.019,0.016,0.019,0.009,0.13,0.082,0.05,0.054,0.13,0.083,0.05,0.047,0.05,0.074,0.019,0.026,0.05,0.073,0.02,0.017,0.13,0.153,0.051,0.047
FO818637,0.063,0.057,0.05,0.051,0.06,0.073,0.064,0.079,0.076,0.07,0.076,0.062,0.047,0.044,0.06,0.055,0.053,0.049,0.06,0.053,0.06,0.061,0.076,0.09,0.063,0.065,0.077,0.07,0.05,0.065,0.064,0.057
CP003787,0.057,0.07,0.031,0.023,0.057,0.058,0.057,0.058,0.106,0.095,0.105,0.102,0.031,0.034,0.057,0.069,0.031,0.035,0.057,0.052,0.057,0.059,0.105,0.099,0.057,0.06,0.104,0.094,0.031,0.039,0.057,0.052
CP000282,0.062,0.061,0.053,0.06,0.062,0.069,0.062,0.069,0.073,0.072,0.073,0.078,0.052,0.045,0.062,0.061,0.053,0.045,0.062,0.059,0.062,0.045,0.073,0.073,0.062,0.046,0.073,0.072,0.053,0.085,0.062,0.059
CP003154,0.058,0.052,0.098,0.125,0.059,0.062,0.059,0.062,0.035,0.033,0.035,0.017,0.098,0.072,0.059,0.053,0.098,0.073,0.059,0.05,0.059,0.075,0.035,0.052,0.058,0.075,0.035,0.033,0.098,0.114,0.059,0.05
AM942759,0.06,0.057,0.038,0.039,0.059,0.069,0.06,0.07,0.093,0.084,0.093,0.088,0.038,0.036,0.059,0.057,0.038,0.036,0.059,0.055,0.059,0.056,0.093,0.102,0.06,0.057,0.093,0.084,0.038,0.054,0.06,0.056
CP002084,0.062,0.055,0.076,0.085,0.063,0.066,0.061,0.064,0.051,0.05,0.051,0.04,0.077,0.073,0.062,0.054,0.075,0.071,0.063,0.056,0.062,0.069,0.051,0.063,0.062,0.068,0.05,0.049,0.076,0.08,0.061,0.055
CP002987,0.058,0.047,0.039,0.047,0.06,0.069,0.059,0.067,0.091,0.09,0.092,0.071,0.04,0.044,0.061,0.049,0.037,0.041,0.06,0.05,0.061,0.066,0.092,0.106,0.058,0.063,0.093,0.091,0.039,0.048,0.059,0.049
HG322949,0.06,0.047,0.093,0.121,0.06,0.071,0.059,0.07,0.038,0.041,0.038,0.023,0.093,0.069,0.059,0.047,0.093,0.069,0.06,0.05,0.059,0.057,0.038,0.054,0.06,0.057,0.038,0.04,0.093,0.132,0.059,0.05
CP000685,0.057,0.058,0.029,0.031,0.055,0.063,0.057,0.065,0.108,0.104,0.109,0.087,0.028,0.03,0.055,0.056,0.03,0.032,0.055,0.049,0.055,0.06,0.109,0.105,0.057,0.062,0.109,0.105,0.029,0.042,0.057,0.051
CP001997,0.062,0.07,0.051,0.042,0.062,0.067,0.062,0.067,0.075,0.072,0.075,0.06,0.051,0.051,0.062,0.07,0.051,0.051,0.062,0.049,0.062,0.07,0.075,0.078,0.062,0.07,0.074,0.071,0.051,0.061,0.062,0.048
CP000390,0.06,0.057,0.093,0.116,0.059,0.062,0.059,0.062,0.038,0.039,0.038,0.021,0.093,0.07,0.059,0.056,0.094,0.071,0.059,0.045,0.059,0.073,0.038,0.054,0.06,0.073,0.038,0.038,0.093,0.117,0.059,0.045
CP002657,0.055,0.056,0.116,0.129,0.055,0.072,0.054,0.071,0.026,0.024,0.026,0.013,0.116,0.081,0.054,0.055,0.115,0.08,0.055,0.049,0.054,0.055,0.026,0.034,0.055,0.055,0.025,0.024,0.116,0.153,0.054,0.049
CP003945,0.061,0.062,0.046,0.046,0.061,0.067,0.062,0.068,0.08,0.082,0.081,0.059,0.046,0.043,0.062,0.063,0.046,0.043,0.061,0.054,0.062,0.071,0.081,0.081,0.061,0.07,0.082,0.084,0.046,0.052,0.062,0.054
CP003379,0.06,0.059,0.091,0.108,0.059,0.07,0.06,0.071,0.039,0.037,0.039,0.022,0.09,0.063,0.06,0.059,0.092,0.063,0.059,0.057,0.06,0.07,0.039,0.046,0.06,0.07,0.04,0.037,0.091,0.11,0.06,0.058
CP002991,0.057,0.069,0.029,0.018,0.056,0.062,0.056,0.063,0.109,0.098,0.108,0.1,0.029,0.033,0.055,0.067,0.03,0.034,0.056,0.048,0.055,0.059,0.108,0.107,0.057,0.061,0.106,0.095,0.029,0.04,0.056,0.048
CP003729,0.051,0.048,0.127,0.163,0.051,0.052,0.051,0.052,0.021,0.019,0.021,0.009,0.127,0.089,0.051,0.048,0.127,0.09,0.051,0.06,0.051,0.067,0.021,0.021,0.051,0.068,0.021,0.019,0.127,0.135,0.051,0.06
CP000555,0.053,0.055,0.12,0.146,0.053,0.065,0.053,0.064,0.024,0.021,0.024,0.009,0.119,0.078,0.053,0.054,0.12,0.078,0.053,0.051,0.053,0.062,0.024,0.03,0.053,0.062,0.024,0.021,0.12,0.151,0.053,0.052
CP002568,0.054,0.051,0.113,0.145,0.056,0.057,0.054,0.055,0.027,0.025,0.027,0.012,0.116,0.083,0.056,0.052,0.11,0.078,0.056,0.05,0.056,0.073,0.027,0.039,0.054,0.071,0.027,0.026,0.113,0.132,0.054,0.049
BA000022,0.062,0.058,0.057,0.046,0.063,0.072,0.062,0.071,0.069,0.073,0.068,0.056,0.057,0.066,0.062,0.058,0.057,0.065,0.063,0.054,0.062,0.059,0.068,0.075,0.062,0.058,0.068,0.073,0.057,0.063,0.062,0.054
CP008889,0.053,0.049,0.119,0.168,0.053,0.054,0.053,0.054,0.024,0.019,0.024,0.009,0.119,0.07,0.053,0.049,0.119,0.07,0.053,0.063,0.053,0.077,0.024,0.028,0.053,0.077,0.024,0.019,0.119,0.131,0.053,0.063
AP012157,0.059,0.053,0.037,0.045,0.059,0.069,0.059,0.068,0.094,0.088,0.094,0.08,0.037,0.036,0.06,0.054,0.037,0.035,0.059,0.054,0.06,0.062,0.094,0.102,0.059,0.061,0.095,0.088,0.037,0.051,0.059,0.055
CP000386,0.052,0.065,0.124,0.132,0.052,0.048,0.052,0.049,0.022,0.018,0.022,0.017,0.123,0.099,0.052,0.066,0.125,0.1,0.052,0.047,0.052,0.07,0.022,0.023,0.052,0.071,0.022,0.018,0.124,0.128,0.052,0.047
FP929061,0.044,0.043,0.032,0.028,0.057,0.073,0.054,0.074,0.077,0.073,0.094,0.074,0.042,0.039,0.069,0.079,0.025,0.025,0.057,0.05,0.069,0.092,0.094,0.112,0.044,0.058,0.115,0.094,0.032,0.037,0.054,0.049
AP006840,0.054,0.056,0.118,0.123,0.054,0.061,0.054,0.062,0.024,0.022,0.025,0.014,0.118,0.096,0.054,0.057,0.118,0.097,0.054,0.053,0.054,0.065,0.025,0.031,0.054,0.065,0.025,0.022,0.118,0.123,0.054,0.053
CP007044,0.062,0.055,0.065,0.068,0.062,0.079,0.062,0.078,0.06,0.058,0.06,0.048,0.065,0.057,0.062,0.055,0.065,0.056,0.062,0.056,0.062,0.057,0.06,0.072,0.062,0.057,0.06,0.058,0.065,0.088,0.062,0.057
CP000781,0.055,0.053,0.114,0.132,0.056,0.063,0.054,0.061,0.027,0.026,0.026,0.012,0.117,0.089,0.055,0.054,0.111,0.085,0.056,0.047,0.055,0.066,0.026,0.041,0.055,0.066,0.026,0.026,0.114,0.135,0.054,0.045
AP009384,0.055,0.054,0.113,0.133,0.055,0.062,0.055,0.062,0.027,0.025,0.027,0.011,0.113,0.084,0.055,0.053,0.114,0.085,0.055,0.045,0.055,0.068,0.027,0.043,0.055,0.068,0.027,0.026,0.113,0.137,0.055,0.045
CP006272,0.052,0.05,0.124,0.152,0.052,0.056,0.052,0.056,0.022,0.018,0.022,0.01,0.124,0.09,0.052,0.05,0.124,0.09,0.052,0.061,0.052,0.068,0.022,0.024,0.052,0.069,0.022,0.018,0.124,0.128,0.052,0.062
CP008796,0.058,0.079,0.034,0.017,0.058,0.054,0.058,0.053,0.098,0.095,0.099,0.091,0.035,0.045,0.059,0.08,0.034,0.044,0.058,0.051,0.059,0.065,0.099,0.078,0.058,0.063,0.1,0.096,0.034,0.035,0.058,0.051
CP001108,0.063,0.062,0.063,0.069,0.062,0.071,0.063,0.072,0.062,0.058,0.062,0.039,0.062,0.051,0.062,0.062,0.063,0.052,0.062,0.052,0.062,0.077,0.062,0.072,0.063,0.078,0.063,0.058,0.063,0.072,0.063,0.053
CP001221,0.057,0.059,0.031,0.041,0.057,0.053,0.057,0.053,0.105,0.104,0.106,0.08,0.031,0.035,0.057,0.06,0.03,0.034,0.057,0.05,0.057,0.076,0.106,0.099,0.057,0.076,0.106,0.104,0.031,0.027,0.057,0.05
CP001364,0.062,0.055,0.08,0.09,0.061,0.076,0.061,0.076,0.047,0.042,0.047,0.035,0.08,0.062,0.061,0.054,0.08,0.062,0.061,0.061,0.061,0.064,0.047,0.06,0.062,0.064,0.047,0.041,0.08,0.096,0.061,0.061
CP003359,0.054,0.073,0.026,0.011,0.055,0.055,0.055,0.055,0.114,0.098,0.114,0.119,0.027,0.03,0.055,0.074,0.026,0.03,0.055,0.047,0.055,0.059,0.114,0.112,0.054,0.058,0.114,0.098,0.026,0.034,0.055,0.047
CP001734,0.061,0.057,0.083,0.084,0.061,0.07,0.061,0.07,0.045,0.047,0.045,0.025,0.083,0.076,0.061,0.058,0.083,0.076,0.061,0.053,0.061,0.069,0.045,0.054,0.061,0.069,0.045,0.047,0.083,0.09,0.061,0.053
CP002548,0.05,0.05,0.018,0.017,0.049,0.058,0.05,0.059,0.133,0.135,0.133,0.104,0.018,0.025,0.049,0.05,0.019,0.025,0.049,0.046,0.049,0.053,0.133,0.12,0.05,0.053,0.132,0.134,0.018,0.026,0.05,0.046
CP003532,0.061,0.073,0.052,0.05,0.063,0.064,0.061,0.061,0.075,0.069,0.074,0.052,0.053,0.046,0.063,0.075,0.05,0.043,0.063,0.053,0.063,0.087,0.074,0.075,0.061,0.084,0.074,0.067,0.052,0.049,0.061,0.051
CP000934,0.062,0.055,0.068,0.067,0.062,0.078,0.063,0.08,0.057,0.056,0.058,0.048,0.067,0.062,0.062,0.055,0.068,0.063,0.062,0.055,0.062,0.054,0.058,0.071,0.062,0.055,0.058,0.056,0.068,0.09,0.063,0.056
CP000758,0.061,0.054,0.079,0.101,0.064,0.072,0.06,0.067,0.049,0.05,0.048,0.026,0.082,0.061,0.062,0.054,0.075,0.056,0.064,0.052,0.062,0.073,0.048,0.064,0.061,0.071,0.047,0.049,0.079,0.103,0.06,0.048
CP009129,0.059,0.057,0.039,0.046,0.06,0.069,0.059,0.068,0.092,0.088,0.092,0.073,0.039,0.035,0.06,0.058,0.038,0.033,0.06,0.056,0.06,0.066,0.092,0.093,0.059,0.064,0.092,0.087,0.039,0.052,0.059,0.055
CP000471,0.063,0.058,0.073,0.063,0.061,0.078,0.063,0.081,0.052,0.051,0.053,0.041,0.072,0.069,0.062,0.058,0.075,0.072,0.061,0.054,0.062,0.056,0.053,0.064,0.063,0.058,0.053,0.052,0.073,0.089,0.063,0.056
CP000922,0.06,0.047,0.044,0.068,0.061,0.069,0.061,0.069,0.084,0.083,0.085,0.062,0.044,0.035,0.061,0.048,0.043,0.034,0.061,0.059,0.061,0.068,0.085,0.091,0.06,0.066,0.085,0.084,0.044,0.059,0.061,0.059
CP001630,0.048,0.049,0.136,0.163,0.048,0.054,0.048,0.055,0.017,0.014,0.017,0.007,0.136,0.097,0.048,0.049,0.136,0.097,0.048,0.06,0.048,0.061,0.017,0.015,0.048,0.062,0.017,0.014,0.136,0.145,0.048,0.059
CP002159,0.062,0.053,0.07,0.086,0.062,0.076,0.062,0.076,0.055,0.053,0.056,0.038,0.07,0.053,0.063,0.054,0.069,0.052,0.062,0.054,0.063,0.065,0.056,0.07,0.062,0.064,0.056,0.054,0.07,0.097,0.062,0.054
CP001958,0.056,0.055,0.112,0.141,0.056,0.059,0.055,0.057,0.028,0.029,0.028,0.011,0.112,0.079,0.055,0.054,0.111,0.078,0.056,0.055,0.055,0.071,0.028,0.03,0.056,0.071,0.027,0.029,0.112,0.128,0.055,0.054
FO203355,0.062,0.055,0.076,0.097,0.062,0.067,0.062,0.067,0.051,0.049,0.051,0.044,0.076,0.06,0.062,0.055,0.075,0.06,0.062,0.053,0.062,0.061,0.051,0.064,0.062,0.06,0.051,0.049,0.076,0.105,0.062,0.053
CP000975,0.063,0.068,0.052,0.047,0.062,0.059,0.062,0.06,0.075,0.081,0.074,0.052,0.051,0.058,0.061,0.068,0.052,0.06,0.062,0.044,0.061,0.074,0.074,0.074,0.063,0.075,0.074,0.081,0.052,0.056,0.062,0.044
CP009257,0.061,0.061,0.038,0.036,0.058,0.073,0.061,0.076,0.094,0.087,0.093,0.078,0.036,0.033,0.058,0.057,0.04,0.037,0.058,0.056,0.058,0.054,0.093,0.092,0.061,0.058,0.092,0.086,0.038,0.055,0.061,0.059
CP000830,0.056,0.051,0.109,0.129,0.056,0.063,0.056,0.063,0.029,0.028,0.029,0.013,0.109,0.083,0.056,0.051,0.109,0.083,0.056,0.049,0.056,0.069,0.029,0.045,0.056,0.069,0.029,0.028,0.109,0.125,0.056,0.049
CP001722,0.063,0.057,0.055,0.065,0.059,0.063,0.065,0.071,0.068,0.069,0.071,0.054,0.052,0.052,0.061,0.053,0.058,0.055,0.059,0.042,0.061,0.064,0.071,0.087,0.063,0.069,0.073,0.074,0.055,0.076,0.065,0.048
CP000774,0.059,0.053,0.097,0.13,0.06,0.06,0.057,0.057,0.037,0.038,0.035,0.018,0.099,0.072,0.058,0.053,0.095,0.068,0.06,0.047,0.058,0.073,0.035,0.052,0.059,0.075,0.034,0.036,0.097,0.123,0.057,0.043
CP004388,0.062,0.044,0.075,0.094,0.062,0.074,0.062,0.075,0.051,0.053,0.051,0.027,0.075,0.064,0.062,0.045,0.076,0.064,0.062,0.052,0.062,0.068,0.051,0.073,0.062,0.068,0.051,0.053,0.075,0.093,0.062,0.052
CP006566,0.062,0.053,0.079,0.095,0.061,0.073,0.062,0.073,0.048,0.049,0.048,0.036,0.079,0.063,0.062,0.053,0.079,0.064,0.061,0.054,0.062,0.058,0.048,0.06,0.062,0.058,0.048,0.049,0.079,0.109,0.062,0.054
CP002876,0.062,0.054,0.052,0.059,0.062,0.076,0.062,0.075,0.074,0.07,0.074,0.058,0.052,0.045,0.062,0.054,0.051,0.045,0.062,0.052,0.062,0.063,0.074,0.09,0.062,0.062,0.075,0.071,0.052,0.074,0.062,0.052
CP002899,0.058,0.053,0.031,0.03,0.057,0.069,0.058,0.07,0.104,0.097,0.104,0.088,0.031,0.033,0.057,0.052,0.032,0.034,0.057,0.051,0.057,0.06,0.104,0.113,0.058,0.061,0.104,0.097,0.031,0.041,0.058,0.052
CP011132,0.062,0.054,0.071,0.087,0.062,0.073,0.062,0.073,0.054,0.052,0.054,0.041,0.071,0.057,0.062,0.054,0.071,0.057,0.062,0.058,0.062,0.064,0.054,0.065,0.062,0.064,0.054,0.051,0.071,0.092,0.062,0.058
CP001098,0.059,0.062,0.036,0.02,0.059,0.06,0.059,0.061,0.096,0.087,0.096,0.099,0.036,0.05,0.059,0.063,0.036,0.05,0.059,0.051,0.059,0.059,0.096,0.105,0.059,0.06,0.097,0.088,0.036,0.034,0.059,0.051
CP003949,0.055,0.047,0.113,0.15,0.055,0.056,0.055,0.056,0.027,0.022,0.027,0.011,0.114,0.08,0.055,0.047,0.113,0.079,0.055,0.066,0.055,0.078,0.027,0.032,0.055,0.078,0.026,0.022,0.113,0.11,0.055,0.065
CP003119,0.055,0.044,0.112,0.149,0.055,0.058,0.056,0.059,0.027,0.021,0.027,0.012,0.112,0.078,0.055,0.044,0.113,0.079,0.055,0.065,0.055,0.077,0.027,0.038,0.055,0.077,0.027,0.021,0.112,0.109,0.056,0.066
CP003549,0.059,0.062,0.035,0.036,0.059,0.063,0.059,0.063,0.097,0.092,0.098,0.09,0.035,0.034,0.059,0.062,0.035,0.035,0.059,0.053,0.059,0.059,0.098,0.096,0.059,0.059,0.098,0.093,0.035,0.049,0.059,0.053
CP001962,0.057,0.073,0.105,0.072,0.057,0.059,0.057,0.061,0.031,0.036,0.031,0.023,0.105,0.112,0.057,0.074,0.106,0.113,0.057,0.046,0.057,0.063,0.031,0.027,0.057,0.064,0.031,0.036,0.105,0.096,0.057,0.046
CP000109,0.061,0.053,0.047,0.052,0.062,0.075,0.061,0.073,0.08,0.081,0.081,0.057,0.047,0.045,0.062,0.054,0.046,0.044,0.062,0.057,0.062,0.064,0.081,0.084,0.061,0.062,0.081,0.082,0.047,0.06,0.061,0.056
AP012337,0.06,0.058,0.086,0.1,0.06,0.073,0.061,0.074,0.042,0.04,0.043,0.024,0.086,0.063,0.061,0.059,0.087,0.064,0.06,0.052,0.061,0.067,0.043,0.053,0.06,0.067,0.043,0.041,0.086,0.113,0.061,0.053
CP009056,0.056,0.052,0.029,0.031,0.056,0.067,0.056,0.066,0.109,0.096,0.109,0.103,0.029,0.03,0.056,0.052,0.029,0.029,0.056,0.053,0.056,0.055,0.109,0.12,0.056,0.055,0.108,0.096,0.029,0.041,0.056,0.052
CP002026,0.055,0.054,0.115,0.147,0.055,0.056,0.054,0.056,0.026,0.024,0.026,0.013,0.115,0.08,0.054,0.053,0.116,0.08,0.055,0.045,0.054,0.07,0.026,0.041,0.055,0.071,0.026,0.024,0.115,0.141,0.054,0.045
CP000769,0.049,0.054,0.135,0.18,0.049,0.041,0.049,0.041,0.018,0.014,0.018,0.008,0.135,0.086,0.049,0.054,0.136,0.087,0.049,0.049,0.049,0.074,0.018,0.02,0.049,0.074,0.017,0.014,0.135,0.153,0.049,0.049
CP002304,0.055,0.069,0.027,0.013,0.055,0.062,0.055,0.062,0.111,0.099,0.112,0.101,0.028,0.032,0.056,0.069,0.027,0.031,0.055,0.042,0.056,0.063,0.112,0.114,0.055,0.061,0.113,0.1,0.027,0.04,0.055,0.043
CP003283,0.058,0.058,0.035,0.036,0.059,0.067,0.058,0.067,0.097,0.095,0.099,0.08,0.035,0.036,0.059,0.061,0.034,0.035,0.059,0.049,0.059,0.061,0.099,0.099,0.058,0.059,0.1,0.096,0.035,0.053,0.058,0.048
CP000155,0.062,0.059,0.073,0.085,0.062,0.069,0.062,0.07,0.053,0.052,0.053,0.04,0.072,0.058,0.062,0.059,0.073,0.059,0.062,0.053,0.062,0.066,0.053,0.063,0.062,0.066,0.053,0.052,0.073,0.094,0.062,0.053
CP003796,0.06,0.072,0.038,0.033,0.059,0.062,0.06,0.063,0.093,0.083,0.093,0.082,0.038,0.035,0.059,0.072,0.038,0.036,0.059,0.052,0.059,0.07,0.093,0.09,0.06,0.071,0.093,0.083,0.038,0.045,0.06,0.052
CP002353,0.058,0.05,0.097,0.118,0.06,0.06,0.058,0.059,0.036,0.041,0.035,0.013,0.1,0.082,0.059,0.052,0.095,0.079,0.06,0.06,0.059,0.078,0.035,0.041,0.058,0.077,0.035,0.04,0.097,0.092,0.058,0.058
AM494475,0.053,0.066,0.023,0.013,0.053,0.062,0.053,0.062,0.121,0.1,0.121,0.122,0.023,0.021,0.053,0.065,0.024,0.022,0.053,0.048,0.053,0.054,0.121,0.125,0.053,0.054,0.121,0.1,0.023,0.039,0.053,0.048
CP007444,0.057,0.052,0.103,0.127,0.058,0.07,0.057,0.07,0.032,0.031,0.032,0.016,0.104,0.071,0.057,0.052,0.103,0.07,0.058,0.055,0.057,0.063,0.032,0.043,0.057,0.063,0.032,0.03,0.103,0.132,0.057,0.054
CP001713,0.061,0.077,0.041,0.032,0.061,0.063,0.06,0.062,0.089,0.081,0.088,0.074,0.041,0.038,0.06,0.077,0.041,0.038,0.061,0.051,0.06,0.074,0.088,0.084,0.061,0.075,0.087,0.079,0.041,0.047,0.06,0.049
CP002345,0.06,0.056,0.038,0.042,0.06,0.069,0.059,0.068,0.094,0.087,0.093,0.08,0.038,0.038,0.059,0.055,0.038,0.038,0.06,0.056,0.059,0.062,0.093,0.099,0.06,0.062,0.093,0.086,0.038,0.048,0.059,0.056
HG934468,0.062,0.06,0.05,0.057,0.062,0.069,0.062,0.069,0.077,0.071,0.076,0.066,0.05,0.044,0.061,0.059,0.05,0.045,0.062,0.058,0.061,0.065,0.076,0.083,0.062,0.066,0.075,0.069,0.05,0.062,0.062,0.057
CP009159,0.06,0.051,0.04,0.056,0.06,0.066,0.06,0.066,0.089,0.088,0.089,0.079,0.04,0.038,0.06,0.051,0.04,0.038,0.06,0.057,0.06,0.056,0.089,0.092,0.06,0.056,0.089,0.088,0.04,0.06,0.06,0.058
